"Housing characteristics";"Regions";"Periods";"Average consumption of natural gas (m3)";"Average supply of electricity (kWh)";"Average net supply of electricity (kWh)";"District heating (%)"
"Owner-occupied house";"Zuid-Holland (PV)";"2016";"    1310";"    3270";"";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2017";"    1260";"    3220";"";""
"Owner-occupied house";"Zuid-Holland (PV)";"2018";"    1270";"    3150";"";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2019";"    1170";"    3040";"";""
"Owner-occupied house";"Zuid-Holland (PV)";"2020";"    1120";"    3110";"";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2021";"    1270";"    3180";"    2860";"       ."
"Owner-occupied house";"Zuid-Holland (PV)";"2022*";"     980";"    2970";"    2510";"       ."
"Owner-occupied house";"Zeeland (PV)";"2015";"    1470";"    3150";"";"       ."
"Owner-occupied house";"Zeeland (PV)";"2016";"    1500";"    3080";"";"       ."
"Owner-occupied house";"Zeeland (PV)";"2017";"    1420";"    3000";"";""
"Owner-occupied house";"Zeeland (PV)";"2018";"    1450";"    2930";"";"       ."
"Owner-occupied house";"Zeeland (PV)";"2019";"    1350";"    2840";"";""
"Owner-occupied house";"Zeeland (PV)";"2020";"    1290";"    2870";"";"       ."
"Owner-occupied house";"Zeeland (PV)";"2021";"    1480";"    3070";"    2580";"       ."
"Owner-occupied house";"Zeeland (PV)";"2022*";"    1160";"    2900";"    2200";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2015";"    1560";"    3780";"";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2016";"    1600";"    3710";"";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2017";"    1550";"    3650";"";""
"Owner-occupied house";"Noord-Brabant (PV)";"2018";"    1550";"    3590";"";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2019";"    1440";"    3460";"";""
"Owner-occupied house";"Noord-Brabant (PV)";"2020";"    1350";"    3490";"";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2021";"    1530";"    3540";"    2990";"       ."
"Owner-occupied house";"Noord-Brabant (PV)";"2022*";"    1190";"    3320";"    2570";"       ."
"Owner-occupied house";"Limburg (PV)";"2015";"    1680";"    3700";"";"       ."
"Owner-occupied house";"Limburg (PV)";"2016";"    1750";"    3630";"";"       ."
"Owner-occupied house";"Limburg (PV)";"2017";"    1690";"    3560";"";""
"Owner-occupied house";"Limburg (PV)";"2018";"    1680";"    3490";"";"       ."
"Owner-occupied house";"Limburg (PV)";"2019";"    1560";"    3360";"";""
"Owner-occupied house";"Limburg (PV)";"2020";"    1460";"    3350";"";"       ."
"Owner-occupied house";"Limburg (PV)";"2021";"    1660";"    3410";"    2690";"       ."
"Owner-occupied house";"Limburg (PV)";"2022*";"    1300";"    3220";"    2320";"       ."
